region,crop,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,mean_production
01 Stockholm county,winter wheat,6340.0,6350.0,5710.0,5920.0,3890.0,6420.0,7010.0,5700.0,6210.0,4530.0,5808.0
01 Stockholm county,spring barley,4180.0,4140.0,4190.0,4330.0,2250.0,3630.0,4570.0,2540.0,4580.0,2070.0,3648.0
01 Stockholm county,oats,3980.0,3620.0,2900.0,3780.0,1550.0,3820.0,4420.0,2710.0,4250.0,2500.0,3353.0
01 Stockholm county,peas,3230.0,3400.0,3490.0,2900.0,1590.0,3060.0,3340.0,1990.0,3510.0,1790.0,2830.0
01 Stockholm county,winter rape,3050.0,3420.0,3050.0,3140.0,1740.0,3020.0,3480.0,2930.0,2350.0,1790.0,2797.0
01 Stockholm county,temporary grasses,3527.0,4480.0,3100.0,3260.0,2550.0,4600.0,4200.0,4120.0,2590.0,2840.0,3527.0
01 Stockholm county,temporary grasses. First cut,2741.0,3840.0,2270.0,3090.0,1650.0,2770.0,3450.0,3570.0,2340.0,1690.0,2741.0
03 Uppsala county,winter wheat,6860.0,7240.0,6080.0,6330.0,3780.0,7250.0,7520.0,6520.0,6020.0,4890.0,6249.0
03 Uppsala county,spring wheat,4700.0,5300.0,4490.0,4800.0,2270.0,4280.0,5170.0,3490.0,4520.0,2390.0,4141.0
03 Uppsala county,spring barley,4660.0,4840.0,5010.0,5070.0,2540.0,4910.0,5050.0,3270.0,4760.0,2360.0,4247.0
03 Uppsala county,oats,4300.0,4650.0,4030.0,4520.0,2080.0,4600.0,4540.0,2780.0,4140.0,2210.0,3785.0
03 Uppsala county,peas,3160.0,3770.0,3700.0,3290.0,2210.0,3610.0,3540.0,2950.0,3500.0,1840.0,3157.0
03 Uppsala county,winter rape,3340.0,3620.0,3200.0,3380.0,1560.0,2830.0,3660.0,3450.0,2060.0,2220.0,2932.0
03 Uppsala county,spring rape,1980.0,2340.0,2490.0,1950.0,1390.0,2226.0,2560.0,2140.0,2790.0,2390.0,2226.0
03 Uppsala county,temporary grasses,5720.0,4380.0,4600.0,3390.0,3370.0,4460.0,4880.0,4910.0,5990.0,4740.0,4644.0
03 Uppsala county,temporary grasses. First cut,3450.0,2620.0,2590.0,2600.0,1700.0,2740.0,3170.0,3110.0,3420.0,2130.0,2753.0
03 Uppsala county,temporary grasses. Re-growth,1985.0,1770.0,2010.0,1985.0,1680.0,1720.0,1710.0,1800.0,2580.0,2610.0,1985.0
